iso_code,continent,location,last_updated_date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,brand
ISR,Asia,Israel,3/22/21,9780097,5187471,4592626,41446,55450,112.99,59.93,53.06,6406
ITA,Europe,Italy,3/22/21,8029789,5477226,2552563,172837,155844,13.28,9.06,4.22,2578
JAM,North America,Jamaica,3/22/21,16096,16096,,,2299,0.54,0.54,,776
JPN,Asia,Japan,3/22/21,652698,623569,29129,70133,51775,0.52,0.49,0.02,409
JEY,Europe,Jersey,3/17/21,48732,41741,6991,,929,48.21,41.3,6.92,9191
JOR,Asia,Jordan,3/22/21,272648,209278,63370,,10215,2.67,2.05,0.62,1001
KAZ,Asia,Kazakhstan,3/22/21,109995,90748,19247,,5129,0.59,0.48,0.1,273
KEN,Africa,Kenya,3/22/21,20000,20000,,,2286,0.04,0.04,,43
LVA,Europe,Latvia,3/22/21,105081,85904,19177,2259,568,5.57,4.55,1.02,301
LBN,Asia,Lebanon,3/22/21,148119,98022,50097,9699,6199,2.17,1.44,0.73,908
LTU,Europe,Lithuania,3/22/21,408014,281871,126143,7379,6546,14.99,10.35,4.63,2405
LUX,Europe,Luxembourg,3/22/21,74255,56383,17872,3185,2172,11.86,9.01,2.86,3470
MAC,Asia,Macao,3/21/21,36459,36459,,1188,1099,5.61,5.61,,1692
MWI,Africa,Malawi,3/22/21,25589,25589,,1039,4034,0.13,0.13,,211
MYS,Asia,Malaysia,3/22/21,452919,422058,,24209,18798,1.4,1.3,,581
MDV,Asia,Maldives,3/22/21,212711,,,6597,7843,39.35,,,14510
MLT,Europe,Malta,3/22/21,145934,101451,44483,2765,3367,33.05,22.98,10.07,7626
MEX,North America,Mexico,3/22/21,5781359,5046896,734463,169068,196679,4.48,3.91,0.57,1525
MDA,Europe,Moldova,3/22/21,20494,20494,,1317,1200,0.51,0.51,,297
MCO,Europe,Monaco,3/22/21,18081,9750,8331,,165,46.07,24.84,21.23,4204
MNG,Asia,Mongolia,3/22/21,209278,,,5157,15611,6.38,,,4762
MNE,Europe,Montenegro,3/22/21,7298,6837,461,449,531,1.16,1.09,0.07,845
MSR,North America,Montserrat,3/10/21,932,892,40,,19,18.64,17.84,0.8,3801
MAR,Africa,Morocco,3/22/21,6781503,4264761,2516742,76387,112674,18.37,11.55,6.82,3053
MOZ,Africa,Mozambique,3/22/21,46439,46439,,,7740,0.15,0.15,,248
NLD,Europe,Netherlands,3/22/21,1887726,1394603,493123,,38270,11.02,8.14,2.88,2233
NZL,Oceania,New Zealand,3/22/21,27000,27000,,,1286,0.56,0.56,,267
MKD,Europe,North Macedonia,3/22/21,5300,5300,,,189,0.25,0.25,,91
NOR,Europe,Norway,3/22/21,768468,505688,262780,255,8734,14.18,9.33,4.85,1611
OMN,Asia,Oman,3/22/21,120837,101818,19019,3650,2262,2.37,1.99,0.37,443
PAN,North America,Panama,3/22/21,309660,,,336,7980,7.18,,,1849
PRY,South America,Paraguay,3/22/21,14696,13326,,234,979,0.21,0.19,,137
PER,South America,Peru,3/22/21,689922,478975,210947,799,23315,2.09,1.45,0.64,707
PHL,Asia,Philippines,3/22/21,336656,336656,,,17237,0.31,0.31,,157
POL,Europe,Poland,3/22/21,5026182,3242462,1783720,12015,70771,13.28,8.57,4.71,1870
PRT,Europe,Portugal,3/22/21,1351516,903964,447552,3185,26186,13.25,8.87,4.39,2568
QAT,Asia,Qatar,3/22/21,615655,,,21042,18189,21.37,,,6313
ROU,Europe,Romania,3/22/21,2521512,1745105,776407,44417,51564,13.11,9.07,4.04,2680
RUS,Europe,Russia,3/22/21,8413713,5620920,2792793,51138,96445,5.77,3.85,1.91,661
RWA,Africa,Rwanda,3/22/21,338544,338544,,4006,3504,2.61,2.61,,271
SHN,Africa,Saint Helena,3/15/21,3107,3107,,,75,51.18,51.18,,12354
KNA,North America,Saint Kitts and Nevis,3/22/21,7580,7580,,,276,14.25,14.25,,5189
LCA,North America,Saint Lucia,3/22/21,20247,20247,,,408,11.03,11.03,,2222
SMR,Europe,San Marino,3/22/21,7923,7888,35,595,445,23.35,23.24,0.1,13112
SAU,Asia,Saudi Arabia,3/22/21,3333125,,,144003,142339,9.57,,,4089
SEN,Africa,Senegal,3/22/21,159168,159168,,0,3997,0.95,0.95,,239
SRB,Europe,Serbia,3/22/21,2178930,1313912,865018,9068,19802,32.02,19.31,12.71,2910
SYC,Africa,Seychelles,3/22/21,90150,62457,27693,773,292,91.67,63.51,28.16,2969
SGP,Asia,Singapore,3/22/21,792423,549254,243169,,25873,13.54,9.39,4.16,4422
SVK,Europe,Slovakia,3/22/21,756567,518694,237873,6486,15662,13.86,9.5,4.36,2869
SVN,Europe,Slovenia,3/22/21,290220,186170,104050,0,4289,13.96,8.96,5,2063
ZAF,Africa,South Africa,3/22/21,182983,182983,182983,5708,5395,0.31,0.31,0.31,91
KOR,Asia,South Korea,3/22/21,681443,680560,883,4243,11328,1.33,1.33,0,221
SSD,Africa,South Sudan,3/22/21,,,,,,,,,
ESP,Europe,Spain,3/22/21,6321908,4211040,2110868,136278,96716,13.52,9.01,4.51,2069
LKA,Asia,Sri Lanka,3/22/21,838355,,,8490,7694,3.92,,,359
SUR,South America,Suriname,3/22/21,13749,13749,,2683,861,2.34,2.34,,1468
SWE,Europe,Sweden,3/22/21,1293923,910425,383498,38559,28573,12.81,9.01,3.8,2829
CHE,Europe,Switzerland,3/22/21,1176875,744681,432194,54234,20214,13.6,8.6,4.99,2336
THA,Asia,Thailand,3/22/21,53842,53842,,,4772,0.08,0.08,,68
TUN,Africa,Tunisia,3/22/21,12496,12496,,479,1489,0.11,0.11,,126
TUR,Asia,Turkey,3/22/21,13265952,8045789,5220163,208230,286334,15.73,9.54,6.19,3395
UGA,Africa,Uganda,3/22/21,23527,23527,,4519,3187,0.05,0.05,,70
UKR,Europe,Ukraine,3/22/21,121929,121928,1,10904,8549,0.28,0.28,0,195
ARE,Asia,United Arab Emirates,3/22/21,7374725,,,75957,113692,74.56,,,11495
GBR,Europe,United Kingdom,3/22/21,30279360,27997976,2281384,419618,602266,44.6,41.24,3.36,8872
USA,North America,United States,3/22/21,126509736,82772416,44910946,2028324,2489697,37.83,24.75,13.43,7444
URY,South America,Uruguay,3/22/21,344285,344285,,31792,18549,9.91,9.91,,5340
VNM,Asia,Vietnam,3/22/21,36082,36082,,2191,2888,0.04,0.04,,30
ZWE,Africa,Zimbabwe,3/22/21,43294,43294,,565,805,0.29,0.29,,54
